system:index,NDVI_mean,NDVI_stdDev,date,feature_id,.geo
00000000000000000000_20210718T112119_20210718T112951_T29TPE,0.32970928383883125,0.11844740548098186,2021-07-18,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210728T112119_20210728T112520_T29TPE,0.3198412046078198,0.1057170837060381,2021-07-28,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210807T112119_20210807T112114_T29TPE,0.3151953150865241,0.101362745501235,2021-08-07,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210812T112121_20210812T112449_T29TPE,0.3092189366686702,0.10018963191278306,2021-08-12,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210817T112119_20210817T112113_T29TPE,0.30389559375892533,0.10087549256428831,2021-08-17,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210822T112121_20210822T112449_T29TPE,0.30152435241750025,0.10451614487396337,2021-08-22,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210827T112109_20210827T112111_T29TPE,0.3652256530360922,0.13194608533587351,2021-08-27,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210916T112109_20210916T112109_T29TPE,0.3105112716037457,0.12250292500757673,2021-09-16,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210921T112121_20210921T112452_T29TPE,0.31097557656592223,0.10783532980316572,2021-09-21,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210926T112109_20210926T112745_T29TPE,0.3351333808755939,0.11401155979606123,2021-09-26,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20211006T112119_20211006T112114_T29TPE,0.3464794239150027,0.10073303857044758,2021-10-06,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20211026T112119_20211026T112238_T29TPE,0.3645410284002809,0.1039117352005497,2021-10-26,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20211105T112149_20211105T112401_T29TPE,0.41212055624271515,0.12312301853806872,2021-11-05,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20211110T112311_20211110T112451_T29TPE,0.37981665700862416,0.11729568802153677,2021-11-10,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20211115T112239_20211115T112445_T29TPE,0.36800370143306627,0.1150275755772921,2021-11-15,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20211130T112431_20211130T112449_T29TPE,0.3394096103691356,0.1090064811449468,2021-11-30,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20211215T112359_20211215T112443_T29TPE,0.3116008354814484,0.10424979487442591,2021-12-15,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20211230T112501_20211230T112458_T29TPE,0.33639647861173516,0.11493841089415716,2021-12-30,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20220114T112329_20220114T112443_T29TPE,0.33758900307101825,0.11932656364638673,2022-01-14,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20220119T112411_20220119T112449_T29TPE,0.326576523305772,0.11724859665914018,2022-01-19,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20220124T112249_20220124T112248_T29TPE,0.30813733911508345,0.11601194302194122,2022-01-24,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20220129T112321_20220129T112901_T29TPE,0.20397178356707193,0.07012912596521449,2022-01-29,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20220208T112231_20220208T112225_T29TPE,0.1891859550055901,0.06938029326481875,2022-02-08,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20220228T112121_20220228T112450_T29TPE,0.17818621621438907,0.058885173746724674,2022-02-28,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
